Request,TPS
VM-generateBatch,0
VM-activateGiftingVoucher,7.809
VM-deactivateGiftingVoucher,11.173
VM-dryRunRedeemSUV,96.491
VM-redeemSUV,7.369
VM-reverseRedeemSUV,8.157
VM-cancelActiveSUV,11.628
VM-activateCancelledSUV,10.753
VM-dryRunRedeemPromoCode,58.689
VM-redeemPromoCode,8.796
VM-reverseRedeemPromoCode,7.735
VM-generateNTBatch,0
VM-dryRunRedeemSUNT,28.543
VM-redeemSUNT,6.694
VM-reverseRedeemSUNT,11.157
VM-cancelActiveSUNT,9.357
VM-activateCancelledSUNT,10.101
Request,TPS
VM-generateBatch,0
VM-activateGiftingVoucher,8.363
VM-deactivateGiftingVoucher,12.295
VM-dryRunRedeemSUV,123.437
VM-redeemSUV,8.774
VM-reverseRedeemSUV,8.787
VM-cancelActiveSUV,11.696
VM-activateCancelledSUV,13.889
VM-dryRunRedeemPromoCode,109.206
VM-redeemPromoCode,9.015
VM-reverseRedeemPromoCode,10.004
VM-generateNTBatch,0
VM-dryRunRedeemSUNT,66.138
VM-redeemSUNT,9.686
VM-reverseRedeemSUNT,8.348
VM-cancelActiveSUNT,7.275
VM-activateCancelledSUNT,11.429
Total_requests_per_second,0.0
Request,TPS
VM-generateBatch,0
VM-activateGiftingVoucher,8.239
VM-deactivateGiftingVoucher,7.143
VM-dryRunRedeemSUV,114.198
VM-redeemSUV,8.295
VM-reverseRedeemSUV,6.574
VM-cancelActiveSUV,8.17
VM-activateCancelledSUV,7.587
VM-dryRunRedeemPromoCode,111.44
VM-redeemPromoCode,6.788
VM-reverseRedeemPromoCode,8.252
VM-generateNTBatch,0
VM-dryRunRedeemSUNT,102.477
VM-redeemSUNT,8.158
VM-reverseRedeemSUNT,9.879
VM-cancelActiveSUNT,5.576
VM-activateCancelledSUNT,11.71
Total_requests_per_second,0.0
Request,TPS
VM-generateBatch,0
VM-activateGiftingVoucher,7.579
VM-deactivateGiftingVoucher,10.743
VM-dryRunRedeemSUV,110.335
VM-redeemSUV,7.646
VM-reverseRedeemSUV,3.376
VM-cancelActiveSUV,5.706
VM-activateCancelledSUV,4.87
VM-dryRunRedeemPromoCode,80.537
VM-redeemPromoCode,5.601
VM-reverseRedeemPromoCode,5.645
VM-generateNTBatch,0
VM-dryRunRedeemSUNT,87.477
VM-redeemSUNT,8.359
VM-reverseRedeemSUNT,11.084
VM-cancelActiveSUNT,10.296
VM-activateCancelledSUNT,11.73
Total_requests_per_second,0.0
Request,TPS
VM-generateBatch,0
VM-activateGiftingVoucher,6.495
VM-deactivateGiftingVoucher,9.428
VM-dryRunRedeemSUV,116.046
VM-redeemSUV,5.476
VM-reverseRedeemSUV,6.347
VM-cancelActiveSUV,7.856
VM-activateCancelledSUV,8.537
VM-dryRunRedeemPromoCode,60.569
VM-redeemPromoCode,5.633
VM-reverseRedeemPromoCode,6.069
VM-generateNTBatch,0
VM-dryRunRedeemSUNT,98.802
VM-redeemSUNT,6.264
VM-reverseRedeemSUNT,6.194
VM-cancelActiveSUNT,7.29
VM-activateCancelledSUNT,7.557
Total_requests_per_second,27.0
